ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-08-17T17:14:48Z,mkansara_6,ios,1718,US,172.58.237.147,unknown,66,Lil Yachty,Lil Boat 2,spotify:track:6tarvNiKnEjYMj1VZhlDqR,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292486,FALSE
2023-08-17T17:14:49Z,mkansara_6,ios,1207,US,172.58.237.147,unknown,SMALL WINS,SASHA CHAA,SMALL WINS,spotify:track:6B6Sqo3ipPs4bpvCb9ZsJc,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292488,FALSE
2023-08-17T17:14:51Z,mkansara_6,ios,2368,US,172.58.237.147,unknown,Love Me,Lil Wayne,I Am Not A Human Being II,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292489,FALSE
2023-08-17T17:14:52Z,mkansara_6,ios,1160,US,172.58.237.147,unknown,Make 10,LouGotCash,Louniversal,spotify:track:5s1mXRwyLKMHiNLDSV9io2,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292492,FALSE
2023-08-17T17:14:53Z,mkansara_6,ios,1160,US,172.58.237.147,unknown,Neva Die,G Perico,Shit Don't Stop,spotify:track:5JUCVG8HUDmQxA17ZS6CGw,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292493,FALSE
2023-08-17T17:14:56Z,mkansara_6,ios,1718,US,172.58.237.147,unknown,Park,Isaiah Rashad,The Sun's Tirade,spotify:track:5hqh0JUxRShhqdaxu7wlz5,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292494,FALSE
2023-08-17T17:14:57Z,mkansara_6,ios,1671,US,172.58.237.147,unknown,Wait - Chromeo Remix,Maroon 5,Wait,spotify:track:0eayB5jay6m21D816D7jF4,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292496,FALSE
2023-08-17T17:14:58Z,mkansara_6,ios,1393,US,172.58.237.147,unknown,Tum Hi Ho,Arijit Singh,Aashiqui 2,spotify:track:56zZ48jdyY2oDXHVnwg5Di,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292498,FALSE
2023-08-17T17:15:00Z,mkansara_6,ios,1532,US,172.58.237.147,unknown,honda civic '98,Chase Shakur,It'll Be Fine,spotify:track:1ztPf79mbGpktO7TjB7tWW,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292499,FALSE
2023-08-17T17:16:27Z,mkansara_6,ios,86935,US,172.58.237.147,unknown,On God (Freestyle),Bhalwaan,On God (Freestyle),spotify:track:4zKDp8cjwWaLNO3V7Sk6b8,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292501,FALSE
2023-08-17T17:16:28Z,mkansara_6,ios,1346,US,172.58.237.147,unknown,MTR - Majesto Remix,Thybxlle,MTR,spotify:track:0IyfWBeT5vwQTZWtq1skNe,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292587,FALSE
2023-08-17T17:16:30Z,mkansara_6,ios,1602,US,172.58.237.147,unknown,Plush,Stone Temple Pilots,Thank You,spotify:track:2TAQ9YGehOKWDqDak5DuXc,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292589,FALSE
2023-08-17T17:19:18Z,mkansara_6,ios,167857,US,172.58.237.147,unknown,Top (feat. Pi'erre Bourne),Playboi Carti,Die Lit,spotify:track:7HsvTUJcXRQVK6QuALkAvW,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292590,FALSE
2023-08-17T17:19:22Z,mkansara_6,ios,3761,US,172.58.237.147,unknown,Last Night,DJ Clue,Last Night,spotify:track:0FvHLZpMCfyCSjAFzQlpbI,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292758,FALSE
2023-08-17T17:19:23Z,mkansara_6,ios,1323,US,172.58.237.147,unknown,"Munda Southall Da (From ""Munda Southall Da"")",Raj Ranjodh,"Munda Southall Da (From ""Munda Southall Da"")",spotify:track:76gPjhWRPikAzdnW9QmhDM,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1692292762,FALSE
2023-08-17T17:19:24Z,mkansara_6,ios,1416,US,172.58.237.147,unknown,Sauce It Up,Lil Uzi Vert,Luv Is Rage 2,spotify:track:1uL78kFWxhz3umTMWJu8n5,,,,fwdbtn,backbtn,TRUE,TRUE,FALSE,1692292763,FALSE
2023-08-17T17:24:50Z,mkansara_6,ios,27887,US,24.45.74.97,unknown,"Munda Southall Da (From ""Munda Southall Da"")",Raj Ranjodh,"Munda Southall Da (From ""Munda Southall Da"")",spotify:track:76gPjhWRPikAzdnW9QmhDM,,,,backbtn,logout,TRUE,FALSE,FALSE,1692292765,FALSE
2023-08-17T18:42:36Z,mkansara_6,ios,930190,US,71.172.157.223,unknown,,,,,Wendy Mogel,Armchair Expert with Dax Shepard,spotify:episode:1GDoEGlO7ngbAbZOqRDNfl,appload,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692295402,FALSE
2023-08-17T21:45:46Z,mkansara_6,ios,1014330,US,71.172.157.223,unknown,,,,,Wendy Mogel,Armchair Expert with Dax Shepard,spotify:episode:1GDoEGlO7ngbAbZOqRDNfl,appload,endplay,FALSE,TRUE,FALSE,1692305597,FALSE
2023-08-17T21:49:53Z,mkansara_6,ios,244820,US,71.172.157.223,unknown,,,,,"Dear Tom (Raquel's Version): Thursday May 18th, 2023",The Toast,spotify:episode:0aVlqCKXqBHqyBjmn0IruD,clickrow,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692308747,FALSE
2023-08-17T23:02:30Z,mkansara_6,ios,878930,US,71.172.157.223,unknown,,,,,"Dear Tom (Raquel's Version): Thursday May 18th, 2023",The Toast,spotify:episode:0aVlqCKXqBHqyBjmn0IruD,appload,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692311341,FALSE
2023-08-17T23:18:57Z,mkansara_6,ios,3349,US,24.45.74.97,unknown,Dale,Watan Sahi,Dale,spotify:track:6d9gJbUjm3HEnnzWzoDlyW,,,,clickrow,endplay,FALSE,TRUE,FALSE,1692314334,FALSE
2023-08-17T23:19:23Z,mkansara_6,ios,25663,US,24.45.74.97,unknown,Dior,Watan Sahi,Dior,spotify:track:0PKUJb6mgdOP2XGJCyWeRt,,,,clickrow,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692314338,FALSE
2023-08-18T01:18:54Z,mkansara_6,ios,4109033,US,71.172.157.223,unknown,,,,,Our Queen Claudia Oshry,Good Guys,spotify:episode:61lck8yKUQynImWlpvExe1,clickrow,endplay,FALSE,TRUE,FALSE,1692315990,FALSE
2023-08-18T02:23:18Z,mkansara_6,ios,3689209,US,71.172.157.223,unknown,,,,,Homie Hopping,Good Guys,spotify:episode:4KQRwAkbKFF7vAnaHYWdXG,clickrow,endplay,FALSE,TRUE,FALSE,1692321537,FALSE
2023-08-18T03:00:17Z,mkansara_6,ios,2126744,US,71.172.157.223,unknown,,,,,Soak Sessions with Sofia Franklyn,Good Guys,spotify:episode:0UqiAN3ZxLWhEKGrlsabWg,trackdone,logout,FALSE,FALSE,FALSE,1692325401,FALSE
2023-08-18T12:10:31Z,mkansara_6,ios,3621305,US,71.172.157.223,unknown,,,,,Thick Ric and the DRS Boys,eff won with DRS,spotify:episode:40IXxYbvHn3KDazZkdckFP,clickrow,trackdone,FALSE,FALSE,FALSE,1692341629,FALSE
2023-08-18T14:31:07Z,mkansara_6,ios,2775943,US,71.172.157.223,unknown,,,,,Armchair Anonymous: Grateful for a Lie,Armchair Expert with Dax Shepard,spotify:episode:2gzVqnkSu9NyQLNLVLzoyM,clickrow,trackdone,FALSE,FALSE,FALSE,1692364049,FALSE
2023-08-18T17:49:43Z,mkansara_6,ios,3797,US,24.45.74.97,unknown,Paint The Town Red,Doja Cat,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,,,,clickrow,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692380980,FALSE
2023-08-18T19:56:42Z,mkansara_6,ios,846724,US,172.58.232.124,unknown,,,,,Thick Ric and the DRS Boys,eff won with DRS,spotify:episode:40IXxYbvHn3KDazZkdckFP,clickrow,trackdone,FALSE,FALSE,FALSE,1692387374,FALSE
2023-08-18T23:00:17Z,mkansara_6,ios,290243,US,172.58.233.159,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1692399327,FALSE
2023-08-18T23:02:06Z,mkansara_6,ios,118987,US,172.58.233.159,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1692399607,FALSE
2023-08-18T23:04:41Z,mkansara_6,ios,165163,US,172.58.233.159,unknown,LA (Cali Di Born),Gurjot,LA (Cali Di Born),spotify:track:41vcSvgE6bVE0viSN14hZq,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1692399715,FALSE
2023-08-18T23:09:47Z,mkansara_6,ios,198260,US,172.58.233.159,unknown,Detail,Amrit Maan,Detail,spotify:track:4JCMOPMOhxLFcwHjHe8yrX,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1692399871,FALSE
2023-08-18T23:11:16Z,mkansara_6,ios,97648,US,172.58.233.159,unknown,Dilawara,The PropheC,Dilawara,spotify:track:1C6auFaK08OhOTJ8bfrAiG,,,,trackdone,backbtn,FALSE,TRUE,FALSE,1692400177,FALSE
2023-08-18T23:11:16Z,mkansara_6,ios,160,US,172.58.233.159,unknown,Detail,Amrit Maan,Detail,spotify:track:4JCMOPMOhxLFcwHjHe8yrX,,,,backbtn,backbtn,FALSE,TRUE,FALSE,1692400276,FALSE
2023-08-18T23:11:17Z,mkansara_6,ios,190,US,172.58.233.159,unknown,Gani,Manni Sandhu,Welcome To The Future,spotify:track:66180fpvYEsni5icbsGsCH,,,,backbtn,backbtn,FALSE,TRUE,FALSE,1692400277,FALSE
2023-08-18T23:11:17Z,mkansara_6,ios,190,US,172.58.233.159,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,backbtn,backbtn,FALSE,TRUE,FALSE,1692400277,FALSE
2023-08-18T23:11:17Z,mkansara_6,ios,170,US,172.58.233.159,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,backbtn,backbtn,FALSE,TRUE,FALSE,1692400277,FALSE
2023-08-18T23:11:17Z,mkansara_6,ios,170,US,172.58.233.159,unknown,LA (Cali Di Born),Gurjot,LA (Cali Di Born),spotify:track:41vcSvgE6bVE0viSN14hZq,,,,backbtn,backbtn,FALSE,TRUE,FALSE,1692400277,FALSE
2023-08-18T23:11:21Z,mkansara_6,ios,4020,US,172.58.233.159,unknown,Wonderland,Zora Randhawa,Lakeeran,spotify:track:31QGKUEo7ZH8dRbKSWQy25,,,,backbtn,endplay,FALSE,TRUE,FALSE,1692400277,FALSE
2023-08-18T23:27:13Z,mkansara_6,ios,88620,US,172.58.233.159,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,clickrow,logout,FALSE,FALSE,FALSE,1692400281,FALSE
2023-08-18T23:40:16Z,mkansara_6,ios,50310,US,172.58.233.159,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,appload,logout,FALSE,FALSE,FALSE,1692401945,FALSE
2023-08-18T23:51:37Z,mkansara_6,ios,336633,US,172.58.232.205,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,appload,trackdone,FALSE,FALSE,FALSE,1692402159,FALSE
2023-08-19T00:02:07Z,mkansara_6,ios,67657,US,172.58.232.205,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,trackdone,backbtn,FALSE,TRUE,FALSE,1692402687,FALSE
2023-08-19T00:08:53Z,mkansara_6,ios,267613,US,172.58.232.113,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,backbtn,trackdone,FALSE,FALSE,FALSE,1692403328,FALSE
2023-08-19T00:10:43Z,mkansara_6,ios,118987,US,172.58.232.113,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1692403723,FALSE
2023-08-19T00:35:42Z,mkansara_6,ios,111770,US,172.58.233.165,unknown,LA (Cali Di Born),Gurjot,LA (Cali Di Born),spotify:track:41vcSvgE6bVE0viSN14hZq,,,,trackdone,endplay,FALSE,TRUE,FALSE,1692403832,FALSE
2023-08-19T02:34:43Z,mkansara_6,ios,2525820,US,75.104.64.148,unknown,,,,,"The Great Simon Powell with Ben Soffer: Friday, April 7th, 2023",The Toast,spotify:episode:2SzLPhWlBklgn0UbDC4rYE,clickrow,endplay,FALSE,TRUE,FALSE,1692405345,FALSE
2023-08-19T02:37:37Z,mkansara_6,ios,173688,US,75.104.64.148,unknown,Ocean Eyes,Amrinder Gill,Ocean Eyes,spotify:track:7zQ9sC4XUmKx1NobgyDxDn,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1692412483,FALSE
2023-08-19T02:40:13Z,mkansara_6,ios,166617,US,75.104.64.148,unknown,Gang,Chani Nattan,Gang,spotify:track:6JUucJOwksTvrjjnq3yyqQ,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1692412647,FALSE
2023-08-19T02:44:08Z,mkansara_6,ios,244526,US,75.104.64.148,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,trackdone,endplay,FALSE,TRUE,FALSE,1692412804,FALSE
2023-08-19T03:06:30Z,mkansara_6,ios,979130,US,75.104.64.148,unknown,,,,,"The Great Simon Powell with Ben Soffer: Friday, April 7th, 2023",The Toast,spotify:episode:2SzLPhWlBklgn0UbDC4rYE,clickrow,logout,FALSE,FALSE,FALSE,1692413050,FALSE
2023-08-19T03:09:33Z,mkansara_6,ios,111650,US,75.104.64.148,unknown,,,,,"The Great Simon Powell with Ben Soffer: Friday, April 7th, 2023",The Toast,spotify:episode:2SzLPhWlBklgn0UbDC4rYE,appload,logout,FALSE,FALSE,FALSE,1692414456,FALSE
2023-08-19T04:06:15Z,mkansara_6,ios,406061,US,75.104.64.148,unknown,,,,,"The Great Simon Powell with Ben Soffer: Friday, April 7th, 2023",The Toast,spotify:episode:2SzLPhWlBklgn0UbDC4rYE,appload,endplay,FALSE,TRUE,FALSE,1692414588,FALSE
2023-08-19T04:29:57Z,mkansara_6,ios,724500,US,75.104.64.148,unknown,,,,,"TV Recap Sandwich: Monday, April 10th, 2023",The Toast,spotify:episode:2PZmYidPBpJDI8iFgUd9Vh,trackdone,logout,FALSE,FALSE,FALSE,1692417977,FALSE
2023-08-19T04:34:50Z,mkansara_6,ios,173688,US,75.104.64.148,unknown,Ocean Eyes,Amrinder Gill,Ocean Eyes,spotify:track:7zQ9sC4XUmKx1NobgyDxDn,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1692419518,FALSE
2023-08-19T04:46:09Z,mkansara_6,ios,36072,US,172.58.208.46,unknown,Gang,Chani Nattan,Gang,spotify:track:6JUucJOwksTvrjjnq3yyqQ,,,,trackdone,endplay,FALSE,TRUE,FALSE,1692419680,FALSE
2023-08-19T04:50:57Z,mkansara_6,ios,289270,US,172.58.208.46,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1692420370,FALSE
2023-08-19T04:53:14Z,mkansara_6,ios,65980,US,172.58.208.46,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,trackdone,endplay,FALSE,TRUE,FALSE,1692420648,FALSE
2023-08-19T06:41:10Z,mkansara_6,ios,3338400,US,172.58.209.19,unknown,,,,,"TV Recap Sandwich: Monday, April 10th, 2023",The Toast,spotify:episode:2PZmYidPBpJDI8iFgUd9Vh,clickrow,endplay,FALSE,TRUE,FALSE,1692420805,FALSE
2023-08-19T06:57:36Z,mkansara_6,ios,984752,US,172.58.209.19,unknown,,,,,"TV Recap Sandwich: Monday, April 10th, 2023",The Toast,spotify:episode:2PZmYidPBpJDI8iFgUd9Vh,clickrow,trackdone,FALSE,FALSE,FALSE,1692427271,FALSE
2023-08-19T06:58:04Z,mkansara_6,ios,27181,US,172.58.209.19,unknown,,,,,Episode 106: Linda,Criminal,spotify:episode:6NMuT6McrGRAU9oSKJ8SCV,trackdone,trackdone,FALSE,FALSE,FALSE,1692428256,FALSE
2023-08-19T07:03:06Z,mkansara_6,ios,212735,US,172.58.209.19,unknown,,,,,The Legend of Fair Rosamund,Unexplained Mysteries,spotify:episode:0sOOuiToiz2185XYiLynlp,trackdone,endplay,FALSE,TRUE,FALSE,1692428284,FALSE
2023-08-19T07:05:50Z,mkansara_6,ios,163860,US,142.79.221.229,unknown,Kudmayi,Sachet Tandon,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),spotify:track:6ku9u2hClRcMA0l7PxWvhr,,,,clickrow,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692428586,FALSE
2023-08-19T08:17:39Z,mkansara_6,ios,682,US,24.45.74.97,unknown,Dior,Watan Sahi,Dior,spotify:track:0PKUJb6mgdOP2XGJCyWeRt,,,,fwdbtn,backbtn,FALSE,TRUE,FALSE,1692433059,FALSE
2023-08-19T08:17:39Z,mkansara_6,ios,2026,US,24.45.74.97,unknown,Paint The Town Red,Doja Cat,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,,,,clickrow,fwdbtn,TRUE,TRUE,FALSE,1692433048,FALSE
2023-08-19T08:17:40Z,mkansara_6,ios,917,US,172.58.237.64,unknown,Paint The Town Red,Doja Cat,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,,,,backbtn,unexpected-exit-while-paused,FALSE,FALSE,FALSE,1692433060,FALSE
2023-08-19T08:47:43Z,mkansara_6,ios,82500,US,172.58.237.64,unknown,Paint The Town Red,Doja Cat,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,,,,appload,fwdbtn,FALSE,TRUE,FALSE,1692434774,FALSE
2023-08-19T08:49:35Z,mkansara_6,ios,111246,US,172.58.237.64,unknown,Dior,Watan Sahi,Dior,spotify:track:0PKUJb6mgdOP2XGJCyWeRt,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1692434864,FALSE
2023-08-19T08:51:16Z,mkansara_6,ios,100658,US,172.58.237.64,unknown,Mahol,Watan Sahi,Mahol,spotify:track:6rb6GI5lEzkDQEsNPgKMgc,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1692434975,FALSE
2023-08-19T08:54:59Z,mkansara_6,ios,223602,US,172.58.237.64,unknown,Special,Garbage,Version 2.0,spotify:track:3osBuOGzBR4wCFd5oHm0Un,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1692435076,FALSE
2023-08-19T08:55:03Z,mkansara_6,ios,4033,US,172.58.237.64,unknown,I Want Your Love,CHIC,The Very Best of Chic,spotify:track:0K5SvPs0xOr6ZkCwtkMeWa,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1692435299,FALSE
2023-08-19T08:55:53Z,mkansara_6,ios,42864,US,172.58.237.182,unknown,No Safety,Sukha,No Safety,spotify:track:20UbVolWK6m0Z0ombwnJuv,,,,fwdbtn,logout,FALSE,FALSE,FALSE,1692435304,FALSE
2023-08-19T09:22:23Z,mkansara_6,ios,14520,US,142.79.221.229,unknown,,,,,Tim Ferriss,Armchair Expert with Dax Shepard,spotify:episode:48u73kihAICl3U4oOeVwpk,clickrow,backbtn,FALSE,TRUE,FALSE,1692436928,FALSE
